"SessionID","StudentLevel","Discipline","SessionDate","SessionLengthMin","TotalPrompts","TaskType","AI_AssistanceLevel","FinalOutcome","UsedAgain","SatisfactionRating","Month","Year","DayOfWeek","SessionEfficiency","Cluster"
"SESSION00017","Undergraduate","Business",2025-04-27,6.46,2,"Writing",5,"Confused","True",5,"04","2025","Sunday",0.309597523219814,1
"SESSION00018","High School","Biology",2025-04-13,18.36,4,"Studying",2,"Confused","False",1.2,"04","2025","Sunday",0.217864923747277,2
"SESSION00019","Undergraduate","Math",2024-12-08,18.26,4,"Studying",5,"Assignment Completed","False",4.9,"12","2024","Sunday",0.219058050383352,1
"SESSION00020","High School","Engineering",2024-08-03,19.36,6,"Studying",4,"Assignment Completed","True",3.5,"08","2024","Saturday",0.309917355371901,1
"SESSION00021","Undergraduate","Engineering",2025-05-03,26.79,11,"Brainstorming",3,"Idea Drafted","True",4.4,"05","2025","Saturday",0.410600970511385,3
"SESSION00022","Undergraduate","Business",2025-01-09,11.11,2,"Homework Help",5,"Assignment Completed","False",4.9,"01","2025","Thursday",0.18001800180018,1
"SESSION00023","Undergraduate","Biology",2025-04-21,19.87,8,"Studying",2,"Idea Drafted","True",3.1,"04","2025","Monday",0.402617010568697,2
"SESSION00024","Undergraduate","Math",2025-05-05,17.65,4,"Coding",3,"Gave Up","False",3.6,"05","2025","Monday",0.226628895184136,2
"SESSION00025","Graduate","Psychology",2024-11-27,8.1,3,"Homework Help",5,"Idea Drafted","True",4.3,"11","2024","Wednesday",0.37037037037037,1
"SESSION00026","Undergraduate","Biology",2024-09-14,11.86,2,"Writing",2,"Idea Drafted","True",3.2,"09","2024","Saturday",0.168634064080944,2
"SESSION00027","Undergraduate","History",2024-08-28,6.42,2,"Homework Help",4,"Idea Drafted","True",4,"08","2024","Wednesday",0.311526479750779,1
"SESSION00028","High School","Math",2024-09-05,27.55,7,"Writing",3,"Confused","True",3.5,"09","2024","Thursday",0.254083484573503,2
"SESSION00029","Undergraduate","Psychology",2025-02-20,27.28,6,"Studying",2,"Confused","False",3.4,"02","2025","Thursday",0.219941348973607,2
"SESSION00030","Undergraduate","Engineering",2025-02-26,5.03,2,"Studying",3,"Confused","False",2.5,"02","2025","Wednesday",0.397614314115308,2
"SESSION00031","High School","Biology",2024-12-28,23.79,6,"Studying",3,"Gave Up","False",2.4,"12","2024","Saturday",0.252206809583859,2
"SESSION00032","Undergraduate","Computer Science",2025-04-20,19.04,7,"Studying",3,"Idea Drafted","False",3.3,"04","2025","Sunday",0.367647058823529,2
"SESSION00033","High School","Psychology",2025-02-06,22.89,10,"Coding",3,"Idea Drafted","True",2.6,"02","2025","Thursday",0.436871996505024,2
"SESSION00034","Undergraduate","Business",2025-04-10,10.59,4,"Writing",3,"Gave Up","False",3.9,"04","2025","Thursday",0.377714825306893,1
"SESSION00035","Undergraduate","Math",2025-03-21,25.1,7,"Coding",4,"Confused","True",4.3,"03","2025","Friday",0.278884462151394,1
"SESSION00036","Undergraduate","Biology",2024-07-19,5.76,1,"Writing",1,"Confused","True",1.2,"07","2024","Friday",0.173611111111111,2
"SESSION00037","Undergraduate","Engineering",2025-04-09,33.79,8,"Writing",2,"Assignment Completed","False",1.6,"04","2025","Wednesday",0.236756436815626,2
"SESSION00038","Undergraduate","Psychology",2024-09-20,13.64,5,"Writing",2,"Assignment Completed","True",2.6,"09","2024","Friday",0.366568914956012,2
"SESSION00039","High School","Biology",2025-05-14,2.48,1,"Studying",2,"Idea Drafted","True",2.2,"05","2025","Wednesday",0.403225806451613,2
"SESSION00040","Graduate","Engineering",2025-03-06,11.77,3,"Coding",4,"Assignment Completed","True",4.4,"03","2025","Thursday",0.254885301614274,1
"SESSION00041","Undergraduate","Computer Science",2025-06-21,33.29,15,"Writing",2,"Idea Drafted","True",1.7,"06","2025","Saturday",0.450585761489937,3
"SESSION00042","Undergraduate","Biology",2025-06-13,20.27,6,"Studying",3,"Confused","False",3.4,"06","2025","Friday",0.29600394671929,2
"SESSION00043","High School","History",2025-04-23,33.63,7,"Homework Help",4,"Assignment Completed","True",5,"04","2025","Wednesday",0.208147487362474,1
"SESSION00044","Undergraduate","Psychology",2025-01-01,4.54,1,"Writing",5,"Confused","False",4.6,"01","2025","Wednesday",0.220264317180617,1
"SESSION00045","Undergraduate","Biology",2025-01-26,15.08,3,"Writing",4,"Assignment Completed","True",4.8,"01","2025","Sunday",0.19893899204244,1
"SESSION00046","High School","Math",2025-04-19,27.97,6,"Writing",3,"Assignment Completed","True",1.4,"04","2025","Saturday",0.214515552377547,2
"SESSION00047","High School","Engineering",2024-12-18,46.11,12,"Homework Help",4,"Assignment Completed","True",3.4,"12","2024","Wednesday",0.260247234873129,3
"SESSION00048","Undergraduate","Biology",2024-11-21,13.25,4,"Research",2,"Confused","False",1.4,"11","2024","Thursday",0.30188679245283,2
"SESSION00049","Graduate","Engineering",2024-10-27,16.9,6,"Studying",3,"Assignment Completed","True",3.7,"10","2024","Sunday",0.355029585798817,2
"SESSION00050","Graduate","History",2025-02-28,28.49,5,"Writing",5,"Assignment Completed","True",5,"02","2025","Friday",0.175500175500176,1
"SESSION00051","Undergraduate","Psychology",2024-11-14,13.43,3,"Studying",2,"Idea Drafted","True",2.3,"11","2024","Thursday",0.223380491437081,2
"SESSION00052","Graduate","Business",2024-09-09,22.72,11,"Studying",2,"Assignment Completed","True",1,"09","2024","Monday",0.484154929577465,2
"SESSION00053","Undergraduate","Computer Science",2025-06-08,7.98,1,"Research",4,"Idea Drafted","True",4.2,"06","2025","Sunday",0.12531328320802,1
"SESSION00054","High School","Biology",2024-07-10,15.52,3,"Writing",5,"Assignment Completed","True",5,"07","2024","Wednesday",0.193298969072165,1
"SESSION00055","Undergraduate","Psychology",2024-07-08,6.98,2,"Coding",2,"Idea Drafted","True",2.8,"07","2024","Monday",0.286532951289398,2
"SESSION00056","Undergraduate","Engineering",2024-12-16,6.25,2,"Coding",4,"Assignment Completed","True",5,"12","2024","Monday",0.32,1
"SESSION00057","High School","Engineering",2024-09-05,58.92,19,"Homework Help",4,"Assignment Completed","True",3.9,"09","2024","Thursday",0.322471147318398,3
"SESSION00058","Undergraduate","Biology",2024-06-25,9.56,4,"Coding",3,"Assignment Completed","True",4.9,"06","2024","Tuesday",0.418410041841004,1
"SESSION00059","High School","Business",2025-01-31,31.58,9,"Studying",4,"Idea Drafted","True",4.6,"01","2025","Friday",0.284990500316656,3
"SESSION00060","Graduate","Psychology",2024-11-09,2.38,1,"Studying",5,"Assignment Completed","False",4.5,"11","2024","Saturday",0.420168067226891,1
"SESSION00061","Undergraduate","Computer Science",2024-06-30,17.72,6,"Homework Help",2,"Assignment Completed","True",3.1,"06","2024","Sunday",0.338600451467269,2
"SESSION00062","Undergraduate","Math",2025-03-09,14.78,7,"Coding",3,"Assignment Completed","False",2.5,"03","2025","Sunday",0.47361299052774,2
"SESSION00063","Undergraduate","Computer Science",2025-06-21,10.6,2,"Coding",2,"Assignment Completed","True",1.7,"06","2025","Saturday",0.188679245283019,2
"SESSION00064","Undergraduate","Business",2024-11-15,5.47,1,"Homework Help",4,"Assignment Completed","True",3.9,"11","2024","Friday",0.182815356489945,1
"SESSION00065","High School","Psychology",2025-03-02,12.2,2,"Brainstorming",4,"Idea Drafted","True",4.4,"03","2025","Sunday",0.163934426229508,1
"SESSION00066","Undergraduate","Biology",2024-11-02,8.89,3,"Coding",3,"Assignment Completed","True",2.7,"11","2024","Saturday",0.337457817772778,2
"SESSION00067","Undergraduate","Computer Science",2024-12-02,6.84,1,"Studying",3,"Idea Drafted","True",2.5,"12","2024","Monday",0.146198830409357,2
"SESSION00068","Undergraduate","Business",2025-04-11,12.79,2,"Coding",3,"Assignment Completed","True",3.8,"04","2025","Friday",0.156372165754496,2
"SESSION00069","Undergraduate","History",2025-05-15,41.2,12,"Studying",3,"Idea Drafted","True",3.1,"05","2025","Thursday",0.29126213592233,3
"SESSION00070","Graduate","Computer Science",2024-06-26,16.56,6,"Homework Help",2,"Assignment Completed","True",3,"06","2024","Wednesday",0.36231884057971,2
"SESSION00071","Undergraduate","Engineering",2024-10-24,10.4,3,"Studying",4,"Idea Drafted","True",5,"10","2024","Thursday",0.288461538461538,1
"SESSION00072","Undergraduate","Business",2025-05-24,11.04,5,"Coding",3,"Confused","False",2.3,"05","2025","Saturday",0.452898550724638,2
"SESSION00073","Undergraduate","Math",2024-12-20,5.3,1,"Coding",3,"Assignment Completed","True",2.3,"12","2024","Friday",0.188679245283019,2
"SESSION00074","High School","Engineering",2024-07-27,14.02,4,"Studying",4,"Confused","False",4.4,"07","2024","Saturday",0.285306704707561,1
"SESSION00075","High School","Psychology",2024-08-15,49.67,10,"Writing",5,"Assignment Completed","False",5,"08","2024","Thursday",0.201328769881216,3
"SESSION00076","Graduate","Biology",2025-05-17,13.4,3,"Studying",4,"Assignment Completed","True",5,"05","2025","Saturday",0.223880597014925,1
"SESSION00077","Undergraduate","Engineering",2024-07-31,26.8,8,"Writing",3,"Idea Drafted","True",2.5,"07","2024","Wednesday",0.298507462686567,2
"SESSION00078","Undergraduate","History",2025-02-09,7.29,1,"Coding",5,"Assignment Completed","True",5,"02","2025","Sunday",0.137174211248285,1
"SESSION00079","Graduate","Business",2025-01-12,48.37,20,"Homework Help",3,"Assignment Completed","True",3.2,"01","2025","Sunday",0.413479429398387,3
"SESSION00080","Undergraduate","History",2025-01-28,37.05,13,"Coding",2,"Idea Drafted","True",1.8,"01","2025","Tuesday",0.350877192982456,3
"SESSION00081","Undergraduate","History",2025-04-17,15.94,6,"Homework Help",3,"Assignment Completed","False",4.3,"04","2025","Thursday",0.376411543287328,1
"SESSION00082","Undergraduate","Computer Science",2024-08-08,16.4,4,"Studying",4,"Assignment Completed","True",4.2,"08","2024","Thursday",0.24390243902439,1
"SESSION00083","Undergraduate","Math",2025-02-09,19.56,7,"Brainstorming",5,"Confused","False",5,"02","2025","Sunday",0.357873210633947,1
"SESSION00084","Graduate","Business",2024-08-15,11.48,2,"Homework Help",3,"Idea Drafted","True",2.5,"08","2024","Thursday",0.174216027874564,2
"SESSION00085","Undergraduate","Business",2024-12-24,16.28,3,"Writing",2,"Idea Drafted","False",1.5,"12","2024","Tuesday",0.184275184275184,2
"SESSION00086","High School","Math",2025-01-01,7.34,2,"Writing",2,"Confused","False",2.6,"01","2025","Wednesday",0.272479564032698,2
"SESSION00087","Graduate","Business",2025-01-24,16.32,3,"Coding",5,"Assignment Completed","True",4.2,"01","2025","Friday",0.183823529411765,1
"SESSION00088","High School","Business",2025-01-24,14.88,5,"Homework Help",3,"Assignment Completed","True",4.1,"01","2025","Friday",0.336021505376344,1
"SESSION00089","Undergraduate","History",2025-04-01,14.59,4,"Homework Help",3,"Assignment Completed","True",3.5,"04","2025","Tuesday",0.274160383824537,2
"SESSION00090","Undergraduate","Business",2025-04-15,4.65,1,"Studying",4,"Confused","False",3.1,"04","2025","Tuesday",0.21505376344086,1
"SESSION00091","Undergraduate","Computer Science",2024-11-03,24.83,8,"Writing",3,"Assignment Completed","True",3.4,"11","2024","Sunday",0.322190898107128,2
"SESSION00092","Undergraduate","Biology",2024-08-09,10.39,2,"Writing",5,"Assignment Completed","False",5,"08","2024","Friday",0.192492781520693,1
"SESSION00093","Undergraduate","Math",2025-02-21,35.49,16,"Homework Help",5,"Confused","True",5,"02","2025","Friday",0.450831220061989,3
"SESSION00094","Graduate","History",2025-05-04,12.9,3,"Homework Help",2,"Confused","True",1,"05","2025","Sunday",0.232558139534884,2
"SESSION00095","High School","Business",2024-07-06,9.77,2,"Homework Help",2,"Assignment Completed","True",2,"07","2024","Saturday",0.204708290685773,2
"SESSION00096","Graduate","Biology",2025-04-25,11.12,4,"Writing",4,"Gave Up","False",3.9,"04","2025","Friday",0.359712230215827,1
"SESSION00097","High School","History",2025-05-14,30.82,14,"Homework Help",4,"Assignment Completed","True",2.3,"05","2025","Wednesday",0.45425048669695,3
"SESSION00098","Undergraduate","Engineering",2025-02-26,27.26,7,"Homework Help",3,"Gave Up","True",2.8,"02","2025","Wednesday",0.256786500366838,2
"SESSION00099","Undergraduate","Math",2024-10-25,11.17,3,"Studying",4,"Idea Drafted","True",2.7,"10","2024","Friday",0.26857654431513,1
"SESSION00100","Graduate","Psychology",2024-09-27,4.68,1,"Studying",3,"Confused","False",2.8,"09","2024","Friday",0.213675213675214,2
"SESSION00101","Graduate","Biology",2024-10-23,24.33,5,"Homework Help",4,"Assignment Completed","True",3.5,"10","2024","Wednesday",0.20550760378134,1
"SESSION00102","Undergraduate","Engineering",2025-01-18,16.16,4,"Studying",4,"Assignment Completed","True",1.9,"01","2025","Saturday",0.247524752475248,2
"SESSION00103","Undergraduate","Business",2025-05-09,8.75,3,"Homework Help",3,"Idea Drafted","True",1,"05","2025","Friday",0.342857142857143,2
"SESSION00104","Undergraduate","Psychology",2024-12-06,14.9,3,"Writing",3,"Idea Drafted","False",1.6,"12","2024","Friday",0.201342281879195,2
"SESSION00105","Undergraduate","Biology",2024-10-15,14.8,5,"Coding",3,"Assignment Completed","True",3,"10","2024","Tuesday",0.337837837837838,2
"SESSION00106","Undergraduate","Business",2024-07-09,7.82,2,"Studying",4,"Idea Drafted","True",3.7,"07","2024","Tuesday",0.255754475703325,1
"SESSION00107","Undergraduate","Psychology",2025-05-23,39.45,8,"Studying",4,"Idea Drafted","True",3.2,"05","2025","Friday",0.202788339670469,3
"SESSION00108","High School","Business",2024-08-04,16.63,4,"Studying",1,"Confused","False",1.5,"08","2024","Sunday",0.240529164161155,2
"SESSION00109","Graduate","Math",2024-07-15,41.83,16,"Studying",2,"Idea Drafted","False",1.9,"07","2024","Monday",0.382500597657184,3
"SESSION00110","Graduate","Engineering",2025-06-23,15.97,6,"Writing",3,"Assignment Completed","True",3.5,"06","2025","Monday",0.375704445835942,2
"SESSION00111","Graduate","Computer Science",2024-10-18,39.43,16,"Research",4,"Gave Up","False",5,"10","2024","Friday",0.405782399188435,3
"SESSION00112","Undergraduate","Biology",2025-03-09,28.36,7,"Writing",4,"Assignment Completed","True",3.9,"03","2025","Sunday",0.246826516220028,1
"SESSION00113","Undergraduate","Biology",2024-08-16,10.94,5,"Coding",5,"Idea Drafted","True",3.6,"08","2024","Friday",0.457038391224863,1
"SESSION00114","Undergraduate","Psychology",2025-03-21,25.5,6,"Homework Help",3,"Assignment Completed","True",3.6,"03","2025","Friday",0.235294117647059,2
"SESSION00115","High School","Math",2024-10-02,23.19,9,"Homework Help",4,"Assignment Completed","False",2.9,"10","2024","Wednesday",0.388098318240621,1
"SESSION00116","High School","Business",2025-05-06,13.61,3,"Writing",3,"Idea Drafted","True",3.6,"05","2025","Tuesday",0.220426157237326,2
"SESSION00117","Graduate","Psychology",2024-11-18,18.01,4,"Writing",3,"Idea Drafted","True",3.1,"11","2024","Monday",0.222098833981122,2
"SESSION00118","Undergraduate","Biology",2024-08-22,22.8,4,"Writing",4,"Confused","False",3.7,"08","2024","Thursday",0.175438596491228,1
"SESSION00119","Undergraduate","Computer Science",2024-10-11,15.91,5,"Research",4,"Idea Drafted","False",3.1,"10","2024","Friday",0.314267756128221,1
"SESSION00120","Undergraduate","Math",2024-11-03,20.93,9,"Studying",5,"Assignment Completed","True",5,"11","2024","Sunday",0.430004777830865,1
"SESSION00121","Undergraduate","History",2025-05-20,33.88,7,"Writing",5,"Idea Drafted","True",4.3,"05","2025","Tuesday",0.206611570247934,1
"SESSION00122","High School","Biology",2024-12-01,7.12,3,"Brainstorming",3,"Assignment Completed","False",2.4,"12","2024","Sunday",0.421348314606742,2
"SESSION00123","Undergraduate","Engineering",2024-07-22,19.37,4,"Studying",2,"Gave Up","False",2.7,"07","2024","Monday",0.206504904491482,2
"SESSION00124","Undergraduate","Math",2025-01-16,16.79,4,"Brainstorming",5,"Confused","False",4.4,"01","2025","Thursday",0.238237045860631,1
"SESSION00125","Graduate","Biology",2024-11-12,13.61,3,"Brainstorming",5,"Assignment Completed","True",3.6,"11","2024","Tuesday",0.220426157237326,1
"SESSION00126","Undergraduate","Math",2024-07-23,19.28,5,"Writing",3,"Assignment Completed","False",2.5,"07","2024","Tuesday",0.259336099585062,2
"SESSION00127","Graduate","Biology",2025-01-03,16.64,4,"Studying",3,"Gave Up","True",2.5,"01","2025","Friday",0.240384615384615,2
"SESSION00128","Undergraduate","Psychology",2024-10-21,18.61,4,"Writing",5,"Assignment Completed","True",4.4,"10","2024","Monday",0.214938205265986,1
"SESSION00129","High School","Computer Science",2025-04-06,14.37,4,"Research",5,"Assignment Completed","False",4.7,"04","2025","Sunday",0.278357689631176,1
"SESSION00130","Undergraduate","Psychology",2024-10-18,3.6,1,"Writing",4,"Assignment Completed","True",4.9,"10","2024","Friday",0.277777777777778,1
"SESSION00131","Undergraduate","History",2024-11-29,37.72,7,"Writing",3,"Assignment Completed","True",2.9,"11","2024","Friday",0.185577942735949,3
"SESSION00132","Undergraduate","Math",2024-07-02,8.05,2,"Coding",5,"Assignment Completed","True",4.5,"07","2024","Tuesday",0.248447204968944,1
"SESSION00133","Undergraduate","Psychology",2024-07-04,20.21,5,"Studying",3,"Idea Drafted","False",2.6,"07","2024","Thursday",0.24740227610094,2
"SESSION00134","Graduate","Psychology",2024-10-12,14.06,3,"Homework Help",5,"Gave Up","False",5,"10","2024","Saturday",0.213371266002845,1
"SESSION00135","Undergraduate","Computer Science",2024-10-29,15.82,4,"Writing",4,"Idea Drafted","True",3.6,"10","2024","Tuesday",0.252844500632111,1
"SESSION00136","High School","Computer Science",2024-09-03,6.97,2,"Studying",4,"Gave Up","False",4.2,"09","2024","Tuesday",0.286944045911047,1
"SESSION00137","Undergraduate","Business",2025-03-27,2.54,1,"Coding",5,"Idea Drafted","True",5,"03","2025","Thursday",0.393700787401575,1
"SESSION00138","Graduate","Psychology",2024-07-30,10.73,4,"Writing",4,"Idea Drafted","False",5,"07","2024","Tuesday",0.372786579683131,1
"SESSION00139","Undergraduate","Business",2025-05-27,18.37,4,"Coding",5,"Assignment Completed","True",5,"05","2025","Tuesday",0.217746325530757,1
"SESSION00140","Graduate","Math",2024-08-16,8.62,2,"Coding",3,"Assignment Completed","True",2.1,"08","2024","Friday",0.232018561484919,2
"SESSION00141","Undergraduate","Computer Science",2025-06-20,23.52,11,"Writing",3,"Assignment Completed","True",2.3,"06","2025","Friday",0.467687074829932,2
"SESSION00142","Undergraduate","History",2025-01-13,20.13,5,"Research",5,"Idea Drafted","False",5,"01","2025","Monday",0.248385494287134,1
"SESSION00143","Graduate","History",2025-02-13,15.46,4,"Studying",5,"Confused","False",5,"02","2025","Thursday",0.258732212160414,1
"SESSION00144","Undergraduate","History",2025-02-11,14.86,6,"Brainstorming",3,"Assignment Completed","True",2.7,"02","2025","Tuesday",0.403768506056528,2
"SESSION00145","Graduate","Computer Science",2025-05-20,18.14,6,"Coding",3,"Assignment Completed","True",2.3,"05","2025","Tuesday",0.330760749724366,2
"SESSION00146","High School","Business",2024-08-01,16.64,7,"Brainstorming",5,"Assignment Completed","True",5,"08","2024","Thursday",0.420673076923077,1
"SESSION00147","Undergraduate","Math",2024-11-11,31.16,6,"Writing",3,"Idea Drafted","True",2.8,"11","2024","Monday",0.192554557124519,2
"SESSION00148","Undergraduate","Engineering",2024-08-07,11.21,3,"Studying",3,"Idea Drafted","True",1.6,"08","2024","Wednesday",0.267618198037467,2
"SESSION00149","Undergraduate","Psychology",2024-07-30,10.41,2,"Writing",4,"Assignment Completed","True",2.8,"07","2024","Tuesday",0.192122958693564,1
"SESSION00150","Undergraduate","Math",2024-10-04,26.97,6,"Homework Help",4,"Confused","False",3.7,"10","2024","Friday",0.222469410456062,1
"SESSION00151","High School","Computer Science",2025-04-18,22.46,10,"Studying",3,"Confused","True",2.6,"04","2025","Friday",0.445235975066785,2
"SESSION00152","Graduate","Psychology",2024-10-31,7.53,2,"Studying",4,"Assignment Completed","True",3.2,"10","2024","Thursday",0.265604249667995,1
"SESSION00153","Graduate","Biology",2024-10-25,14.95,3,"Coding",4,"Idea Drafted","True",2.2,"10","2024","Friday",0.20066889632107,2
"SESSION00154","Undergraduate","Engineering",2025-06-04,15.7,5,"Homework Help",5,"Assignment Completed","True",3.3,"06","2025","Wednesday",0.318471337579618,1
"SESSION00155","Graduate","Computer Science",2024-08-11,25.73,8,"Homework Help",4,"Assignment Completed","True",3.7,"08","2024","Sunday",0.310921103769918,1
"SESSION00156","Undergraduate","Business",2024-09-02,7.61,3,"Homework Help",3,"Assignment Completed","True",3.2,"09","2024","Monday",0.394218134034166,2
"SESSION00157","Undergraduate","Business",2025-02-02,20.22,6,"Homework Help",2,"Assignment Completed","True",1,"02","2025","Sunday",0.29673590504451,2
"SESSION00158","Undergraduate","Business",2024-09-14,14.04,3,"Coding",4,"Idea Drafted","True",4.2,"09","2024","Saturday",0.213675213675214,1
"SESSION00159","Graduate","Computer Science",2025-02-05,12.47,4,"Homework Help",2,"Assignment Completed","True",3.8,"02","2025","Wednesday",0.320769847634322,2
"SESSION00160","Undergraduate","Engineering",2025-04-30,6.51,1,"Coding",4,"Assignment Completed","True",4,"04","2025","Wednesday",0.153609831029186,1
"SESSION00161","Undergraduate","Business",2024-07-24,11.77,4,"Coding",3,"Assignment Completed","True",2.9,"07","2024","Wednesday",0.339847068819031,2
"SESSION00162","Undergraduate","History",2024-09-21,13.1,2,"Writing",3,"Assignment Completed","True",1.3,"09","2024","Saturday",0.152671755725191,2
"SESSION00163","Graduate","Psychology",2024-07-13,3.22,1,"Homework Help",5,"Assignment Completed","True",4.8,"07","2024","Saturday",0.31055900621118,1
"SESSION00164","High School","Engineering",2024-10-09,11.77,2,"Writing",5,"Assignment Completed","False",4.4,"10","2024","Wednesday",0.169923534409516,1
"SESSION00165","High School","Computer Science",2024-10-22,8.04,1,"Writing",3,"Assignment Completed","False",3.3,"10","2024","Tuesday",0.124378109452736,2
"SESSION00166","High School","Business",2025-05-16,8.32,1,"Studying",2,"Idea Drafted","False",1,"05","2025","Friday",0.120192307692308,2
"SESSION00167","High School","Computer Science",2025-04-15,11.18,3,"Homework Help",3,"Confused","True",3.2,"04","2025","Tuesday",0.268336314847943,2
"SESSION00168","Undergraduate","Math",2025-01-23,40.08,9,"Coding",4,"Assignment Completed","True",4.1,"01","2025","Thursday",0.224550898203593,3
"SESSION00169","Undergraduate","Engineering",2025-04-13,8.02,2,"Coding",4,"Assignment Completed","True",4.7,"04","2025","Sunday",0.249376558603491,1
"SESSION00170","Undergraduate","Computer Science",2025-01-20,6.85,1,"Writing",4,"Confused","False",4.7,"01","2025","Monday",0.145985401459854,1
"SESSION00171","Undergraduate","Business",2025-06-13,24.99,5,"Studying",4,"Idea Drafted","True",3.3,"06","2025","Friday",0.200080032012805,1
"SESSION00172","Undergraduate","Engineering",2025-05-23,1.2,1,"Studying",4,"Assignment Completed","False",3.9,"05","2025","Friday",0.833333333333333,1
"SESSION00173","Undergraduate","Engineering",2024-07-24,21.11,8,"Homework Help",3,"Assignment Completed","True",3.3,"07","2024","Wednesday",0.378967314069162,2
"SESSION00174","High School","Math",2025-05-05,13.04,3,"Writing",2,"Confused","False",1,"05","2025","Monday",0.230061349693252,2
"SESSION00175","Undergraduate","Engineering",2025-03-27,20.31,7,"Studying",4,"Idea Drafted","True",4,"03","2025","Thursday",0.34465780403742,1
"SESSION00176","Undergraduate","Psychology",2025-01-23,16.66,3,"Writing",3,"Assignment Completed","True",3.1,"01","2025","Thursday",0.180072028811525,2
"SESSION00177","Undergraduate","Business",2025-06-22,13.47,2,"Writing",4,"Assignment Completed","True",3.8,"06","2025","Sunday",0.148478099480327,1
"SESSION00178","Undergraduate","Biology",2025-02-03,9.27,2,"Writing",4,"Assignment Completed","True",5,"02","2025","Monday",0.215749730312837,1
"SESSION00179","Undergraduate","Engineering",2025-05-27,11.43,2,"Writing",3,"Assignment Completed","True",3.3,"05","2025","Tuesday",0.174978127734033,2
"SESSION00180","Graduate","Psychology",2025-03-19,19.55,8,"Coding",3,"Confused","False",1.2,"03","2025","Wednesday",0.40920716112532,2
"SESSION00181","Undergraduate","Computer Science",2025-01-22,8.34,2,"Writing",3,"Assignment Completed","True",4.9,"01","2025","Wednesday",0.239808153477218,1
"SESSION00182","Undergraduate","Computer Science",2024-10-17,3.55,1,"Studying",3,"Idea Drafted","True",2.3,"10","2024","Thursday",0.28169014084507,2
"SESSION00183","Undergraduate","Psychology",2025-06-10,9.93,3,"Coding",5,"Assignment Completed","True",5,"06","2025","Tuesday",0.302114803625378,1
"SESSION00184","High School","Business",2025-01-24,3.64,1,"Writing",5,"Idea Drafted","True",4.4,"01","2025","Friday",0.274725274725275,1
"SESSION00185","Undergraduate","Business",2025-03-06,38.8,8,"Writing",3,"Idea Drafted","True",3.4,"03","2025","Thursday",0.206185567010309,3
"SESSION00186","High School","Psychology",2024-10-17,8.9,2,"Studying",5,"Confused","False",4.7,"10","2024","Thursday",0.224719101123595,1
"SESSION00187","Undergraduate","Business",2024-08-02,20.62,4,"Writing",2,"Assignment Completed","True",2.1,"08","2024","Friday",0.193986420950533,2
"SESSION00188","Graduate","Biology",2025-06-06,27.27,6,"Coding",5,"Assignment Completed","True",4.5,"06","2025","Friday",0.22002200220022,1
